size,data_type,algorithm,threshold,time_µs
2700,reversed,merge_hybrid,10,142.0
2700,reversed,merge_hybrid,15,138.0
2700,reversed,merge_hybrid,20,134.0
2700,reversed,merge_hybrid,30,144.0
2700,reversed,merge_hybrid,50,203.0
2800,reversed,merge_hybrid,5,184.0
2800,reversed,merge_hybrid,10,149.0
2800,reversed,merge_hybrid,15,136.0
2800,reversed,merge_hybrid,20,139.0
2800,reversed,merge_hybrid,30,156.0
2800,reversed,merge_hybrid,50,214.0
2900,reversed,merge_hybrid,5,166.0
2900,reversed,merge_hybrid,10,159.0
2900,reversed,merge_hybrid,15,146.0
2900,reversed,merge_hybrid,20,142.0
2900,reversed,merge_hybrid,30,161.0
2900,reversed,merge_hybrid,50,224.0
3000,reversed,merge_hybrid,5,175.0
3000,reversed,merge_hybrid,10,162.0
3000,reversed,merge_hybrid,15,151.0
3000,reversed,merge_hybrid,20,149.0
3000,reversed,merge_hybrid,30,170.0
3000,reversed,merge_hybrid,50,239.0
3100,reversed,merge_hybrid,5,179.0
3100,reversed,merge_hybrid,10,167.0
3100,reversed,merge_hybrid,15,159.0
3100,reversed,merge_hybrid,20,152.0
3100,reversed,merge_hybrid,30,173.0
3100,reversed,merge_hybrid,50,254.0
3200,reversed,merge_hybrid,5,190.0
3200,reversed,merge_hybrid,10,178.0
3200,reversed,merge_hybrid,15,160.0
3200,reversed,merge_hybrid,20,159.0
3200,reversed,merge_hybrid,30,180.0
3200,reversed,merge_hybrid,50,268.0
3300,reversed,merge_hybrid,5,200.0
3300,reversed,merge_hybrid,10,178.0
3300,reversed,merge_hybrid,15,175.0
3300,reversed,merge_hybrid,20,167.0
3300,reversed,merge_hybrid,30,192.0
3300,reversed,merge_hybrid,50,191.0
3400,reversed,merge_hybrid,5,207.0
3400,reversed,merge_hybrid,10,190.0
3400,reversed,merge_hybrid,15,184.0
3400,reversed,merge_hybrid,20,184.0
3400,reversed,merge_hybrid,30,212.0
3400,reversed,merge_hybrid,50,212.0
3500,reversed,merge_hybrid,5,221.0
3500,reversed,merge_hybrid,10,185.0
3500,reversed,merge_hybrid,15,182.0
3500,reversed,merge_hybrid,20,181.0
3500,reversed,merge_hybrid,30,213.0
3500,reversed,merge_hybrid,50,216.0
3600,reversed,merge_hybrid,5,216.0
3600,reversed,merge_hybrid,10,197.0
3600,reversed,merge_hybrid,15,181.0
3600,reversed,merge_hybrid,20,185.0
3600,reversed,merge_hybrid,30,219.0
3600,reversed,merge_hybrid,50,218.0
3700,reversed,merge_hybrid,5,216.0
3700,reversed,merge_hybrid,10,198.0
3700,reversed,merge_hybrid,15,187.0
3700,reversed,merge_hybrid,20,187.0
3700,reversed,merge_hybrid,30,227.0
3700,reversed,merge_hybrid,50,240.0
3800,reversed,merge_hybrid,5,234.0
3800,reversed,merge_hybrid,10,210.0
3800,reversed,merge_hybrid,15,203.0
3800,reversed,merge_hybrid,20,201.0
3800,reversed,merge_hybrid,30,240.0
3800,reversed,merge_hybrid,50,240.0
3900,reversed,merge_hybrid,5,229.0
3900,reversed,merge_hybrid,10,203.0
3900,reversed,merge_hybrid,15,208.0
3900,reversed,merge_hybrid,20,202.0
3900,reversed,merge_hybrid,30,224.0
3900,reversed,merge_hybrid,50,247.0
4000,reversed,merge_hybrid,5,231.0
4000,reversed,merge_hybrid,10,213.0
4000,reversed,merge_hybrid,15,211.0
4000,reversed,merge_hybrid,20,232.0
4000,reversed,merge_hybrid,30,211.0
4000,reversed,merge_hybrid,50,369.0
4100,reversed,merge_hybrid,5,232.0
4100,reversed,merge_hybrid,10,218.0
4100,reversed,merge_hybrid,15,226.0
4100,reversed,merge_hybrid,20,215.0
4100,reversed,merge_hybrid,30,214.0
4100,reversed,merge_hybrid,50,270.0
4200,reversed,merge_hybrid,5,246.0
4200,reversed,merge_hybrid,10,223.0
4200,reversed,merge_hybrid,15,222.0
4200,reversed,merge_hybrid,20,224.0
4200,reversed,merge_hybrid,30,221.0
4200,reversed,merge_hybrid,50,279.0
4300,reversed,merge_hybrid,5,250.0
4300,reversed,merge_hybrid,10,225.0
4300,reversed,merge_hybrid,15,224.0
4300,reversed,merge_hybrid,20,236.0
4300,reversed,merge_hybrid,30,242.0
4300,reversed,merge_hybrid,50,298.0
4400,reversed,merge_hybrid,5,257.0
4400,reversed,merge_hybrid,10,230.0
4400,reversed,merge_hybrid,15,231.0
4400,reversed,merge_hybrid,20,237.0
4400,reversed,merge_hybrid,30,243.0
4400,reversed,merge_hybrid,50,300.0
4500,reversed,merge_hybrid,5,262.0
4500,reversed,merge_hybrid,10,251.0
4500,reversed,merge_hybrid,15,240.0
4500,reversed,merge_hybrid,20,240.0
4500,reversed,merge_hybrid,30,237.0
4500,reversed,merge_hybrid,50,309.0
4600,reversed,merge_hybrid,5,281.0
4600,reversed,merge_hybrid,10,241.0
4600,reversed,merge_hybrid,15,248.0
4600,reversed,merge_hybrid,20,255.0
4600,reversed,merge_hybrid,30,247.0
4600,reversed,merge_hybrid,50,337.0
4700,reversed,merge_hybrid,5,270.0
4700,reversed,merge_hybrid,10,247.0
4700,reversed,merge_hybrid,15,246.0
4700,reversed,merge_hybrid,20,256.0
4700,reversed,merge_hybrid,30,256.0
4700,reversed,merge_hybrid,50,336.0
4800,reversed,merge_hybrid,5,281.0
4800,reversed,merge_hybrid,10,259.0
4800,reversed,merge_hybrid,15,285.0
4800,reversed,merge_hybrid,20,262.0
4800,reversed,merge_hybrid,30,265.0
4800,reversed,merge_hybrid,50,347.0
4900,reversed,merge_hybrid,5,286.0
4900,reversed,merge_hybrid,10,262.0
4900,reversed,merge_hybrid,15,264.0
4900,reversed,merge_hybrid,20,271.0
4900,reversed,merge_hybrid,30,268.0
4900,reversed,merge_hybrid,50,360.0
5000,reversed,merge_hybrid,5,289.0
5000,reversed,merge_hybrid,10,261.0
5000,reversed,merge_hybrid,15,266.0
5000,reversed,merge_hybrid,20,280.0
5000,reversed,merge_hybrid,30,280.0
5000,reversed,merge_hybrid,50,371.0
5100,reversed,merge_hybrid,5,295.0
5100,reversed,merge_hybrid,10,295.0
5100,reversed,merge_hybrid,15,287.0
5100,reversed,merge_hybrid,20,289.0
