size,data_type,algorithm,threshold,time_µs
2900,random,merge_hybrid,20,284.0
2900,random,merge_hybrid,30,281.0
2900,random,merge_hybrid,50,307.0
3000,random,merge_hybrid,5,364.0
3000,random,merge_hybrid,10,312.0
3000,random,merge_hybrid,15,297.0
3000,random,merge_hybrid,20,298.0
3000,random,merge_hybrid,30,294.0
3000,random,merge_hybrid,50,308.0
3100,random,merge_hybrid,5,347.0
3100,random,merge_hybrid,10,323.0
3100,random,merge_hybrid,15,311.0
3100,random,merge_hybrid,20,316.0
3100,random,merge_hybrid,30,309.0
3100,random,merge_hybrid,50,320.0
3200,random,merge_hybrid,5,368.0
3200,random,merge_hybrid,10,336.0
3200,random,merge_hybrid,15,321.0
3200,random,merge_hybrid,20,322.0
3200,random,merge_hybrid,30,343.0
3200,random,merge_hybrid,50,353.0
3300,random,merge_hybrid,5,374.0
3300,random,merge_hybrid,10,364.0
3300,random,merge_hybrid,15,340.0
3300,random,merge_hybrid,20,340.0
3300,random,merge_hybrid,30,334.0
3300,random,merge_hybrid,50,326.0
3400,random,merge_hybrid,5,386.0
3400,random,merge_hybrid,10,359.0
3400,random,merge_hybrid,15,366.0
3400,random,merge_hybrid,20,345.0
3400,random,merge_hybrid,30,338.0
3400,random,merge_hybrid,50,346.0
3500,random,merge_hybrid,5,393.0
3500,random,merge_hybrid,10,371.0
3500,random,merge_hybrid,15,350.0
3500,random,merge_hybrid,20,353.0
3500,random,merge_hybrid,30,395.0
3500,random,merge_hybrid,50,350.0
3600,random,merge_hybrid,5,399.0
3600,random,merge_hybrid,10,383.0
3600,random,merge_hybrid,15,368.0
3600,random,merge_hybrid,20,361.0
3600,random,merge_hybrid,30,360.0
3600,random,merge_hybrid,50,360.0
3700,random,merge_hybrid,5,467.0
3700,random,merge_hybrid,10,397.0
3700,random,merge_hybrid,15,375.0
3700,random,merge_hybrid,20,374.0
3700,random,merge_hybrid,30,393.0
3700,random,merge_hybrid,50,372.0
3800,random,merge_hybrid,5,430.0
3800,random,merge_hybrid,10,406.0
3800,random,merge_hybrid,15,391.0
3800,random,merge_hybrid,20,389.0
3800,random,merge_hybrid,30,401.0
3800,random,merge_hybrid,50,386.0
3900,random,merge_hybrid,5,445.0
3900,random,merge_hybrid,10,430.0
3900,random,merge_hybrid,15,410.0
3900,random,merge_hybrid,20,414.0
3900,random,merge_hybrid,30,421.0
3900,random,merge_hybrid,50,406.0
4000,random,merge_hybrid,5,476.0
4000,random,merge_hybrid,10,424.0
4000,random,merge_hybrid,15,425.0
4000,random,merge_hybrid,20,412.0
4000,random,merge_hybrid,30,417.0
4000,random,merge_hybrid,50,423.0
4100,random,merge_hybrid,5,472.0
4100,random,merge_hybrid,10,449.0
4100,random,merge_hybrid,15,444.0
4100,random,merge_hybrid,20,426.0
4100,random,merge_hybrid,30,425.0
4100,random,merge_hybrid,50,430.0
4200,random,merge_hybrid,5,481.0
4200,random,merge_hybrid,10,452.0
4200,random,merge_hybrid,15,448.0
4200,random,merge_hybrid,20,433.0
4200,random,merge_hybrid,30,436.0
4200,random,merge_hybrid,50,440.0
4300,random,merge_hybrid,5,501.0
4300,random,merge_hybrid,10,462.0
